#词语 词类标记 词类名称 出现次数 频率 累积频率
原子量 n 名词 59 0.0006 93.1297
为期 v 动词 59 0.0006 93.1303
通到 v 动词 59 0.0006 93.1309
图表 n 名词 59 0.0006 93.1273
单位制 n 名词 59 0.0006 93.1315
状元 n 名词 59 0.0006 93.1351
离别 v 动词 59 0.0006 93.1081
溶化 v 动词 59 0.0006 93.0781
东面 nd 方位名词 59 0.0006 93.0517
古典主义 n 名词 59 0.0006 93.0523
浩瀚 a 形容词 59 0.0006 93.0595
尚书 n 名词 59 0.0006 93.0541
乔 nhf 人名-姓 59 0.0006 93.0547
决战 v 动词 59 0.0006 93.0553
极有 v 动词 59 0.0006 93.0559
妩媚 a 形容词 59 0.0006 93.0565
胜负 n 名词 59 0.0006 93.0649
放宽 v 动词 59 0.0006 93.0577
妖 n 名词 59 0.0006 93.0511
京师 n 名词 59 0.0006 93.0487
小城 n 名词 59 0.0006 93.0589
董事长 n 名词 59 0.0006 93.0571
穿插 v 动词 59 0.0006 93.0601
割断 v 动词 59 0.0006 93.0607
北海 ns 地名 59 0.0006 93.0613
少量 m 数词 59 0.0006 93.0619
哟 u 助词 59 0.0006 93.0625
僵 a 形容词 59 0.0006 93.0631
建房 v 动词 59 0.0006 93.0637
肖像 n 名词 59 0.0006 93.0643
清早 nt 时间名词 59 0.0006 93.0583
屁 n 名词 59 0.0006 93.0391
绷 v 动词 59 0.0006 93.0433
闸 n 名词 59 0.0006 93.0397
往年 nt 时间名词 59 0.0006 93.0403
夜校 n 名词 59 0.0006 93.0409
橘子 n 名词 59 0.0006 93.0415
伤痕 n 名词 59 0.0006 93.0421
臭氧 n 名词 59 0.0006 93.0427
光是 vl 联系动词 59 0.0006 93.0439
人民大会堂 n 名词 59 0.0006 93.0445
一九五七 m 数词 59 0.0006 93.0451
开刀 v 动词 59 0.0006 93.0505
大拇指 n 名词 59 0.0006 93.0463
雷声 n 名词 59 0.0006 93.0385
独有 v 动词 59 0.0006 93.0469
救灾 v 动词 59 0.0006 93.0475
创刊 v 动词 59 0.0006 93.0481
阶梯 n 名词 59 0.0006 93.0457
生物界 n 名词 59 0.0006 93.0493
亚 j 缩略语 59 0.0006 93.0499
头 k 后接成分 59 0.0006 93.0535
贬 v 动词 59 0.0006 93.0865
带给 v 动词 59 0.0006 93.0799
钨 n 名词 59 0.0006 93.0805
类推 v 动词 59 0.0006 93.0811
滑 v 动词 59 0.0006 93.0817
怨恨 v 动词 59 0.0006 93.0823
难 n 名词 59 0.0006 93.0829
洋葱 n 名词 59 0.0006 93.0835
吴刚 nh 人名 59 0.0006 93.0841
生来 v 动词 59 0.0006 93.0847
称得上 v 动词 59 0.0006 93.0925
境遇 n 名词 59 0.0006 93.0859
奋战 v 动词 59 0.0006 93.0793
革命性 n 名词 59 0.0006 93.0871
小脚 n 名词 59 0.0006 93.0877
基本功 n 名词 59 0.0006 93.0883
芯 n 名词 59 0.0006 93.0889
报导 v 动词 59 0.0006 93.0895
不单 c 连词 59 0.0006 93.0901
迷失 v 动词 59 0.0006 93.0907
纯收入 n 名词 59 0.0006 93.0913
位数 n 名词 59 0.0006 93.0661
深渊 n 名词 59 0.0006 93.0919
一下 d 副词 59 0.0006 93.0529
劳苦 a 形容词 59 0.0006 93.0727
心意 n 名词 59 0.0006 93.0715
记事 v 动词 59 0.0006 93.0853
造诣 n 名词 59 0.0006 93.0667
肥力 n 名词 59 0.0006 93.0673
下功夫 v 动词 59 0.0006 93.0679
衣物 n 名词 59 0.0006 93.0685
一年四季 i 习用语 59 0.0006 93.0691
平反 v 动词 59 0.0006 93.0697
锄 v 动词 59 0.0006 93.0703
撵 v 动词 59 0.0006 93.0709
号码 n 名词 59 0.0006 93.0787
置换 v 动词 59 0.0006 93.0721
阴道 n 名词 59 0.0006 93.0655
马蹄 n 名词 59 0.0006 93.0733
小梅 nh 人名 59 0.0006 93.0739
对得起 v 动词 59 0.0006 93.0745
相称 a 形容词 59 0.0006 93.0751
家兔 n 名词 59 0.0006 93.0757
烹调 v 动词 59 0.0006 93.0763
殷勤 a 形容词 59 0.0006 93.0769
秋后 nt 时间名词 58 0.0006 93.2287
仰望 v 动词 58 0.0006 93.2161
液晶 n 名词 58 0.0006 93.2413
相当 v 动词 58 0.0006 93.2167
政治体制 n 名词 58 0.0006 93.2275
费力 v 动词 58 0.0006 93.2173
失眠 v 动词 58 0.0006 93.2179
称 n 名词 58 0.0006 93.2185
佐 n 名词 58 0.0006 93.2191
秆 n 名词 58 0.0006 93.2197
瓷 n 名词 58 0.0006 93.2203
结识 v 动词 58 0.0006 93.2281
叼 v 动词 58 0.0006 93.2215
服务业 n 名词 58 0.0006 93.2149
打入 v 动词 58 0.0006 93.2227
脸庞 n 名词 58 0.0006 93.2233
尝到 v 动词 58 0.0006 93.2239
谓词 n 名词 58 0.0006 93.2245
沈括 nh 人名 58 0.0006 93.2251
村民 n 名词 58 0.0006 93.2257
画画 v 动词 58 0.0006 93.2263
准确性 n 名词 58 0.0006 93.2269
学识 n 名词 58 0.0006 93.2083
活到 v 动词 58 0.0006 93.2221
来人 n 名词 58 0.0006 93.2209
提议 v 动词 58 0.0006 93.2023
缚 v 动词 58 0.0006 93.2029
回信 v 动词 58 0.0006 93.2035
个头 n 名词 58 0.0006 93.2041
体型 n 名词 58 0.0006 93.2047
乙酸 n 名词 58 0.0006 93.2053
拉丁美洲 ns 地名 58 0.0006 93.2059
申诉 v 动词 58 0.0006 93.2065
深浅 n 名词 58 0.0006 93.2143
真人 n 名词 58 0.0006 93.2077
贻贝 n 名词 58 0.0006 93.2017
满口 n 名词 58 0.0006 93.2089
发疯 v 动词 58 0.0006 93.2095
笑笑 v 动词 58 0.0006 93.2101
大 h 前接成分 58 0.0006 93.2107
扼杀 v 动词 58 0.0006 93.2113
江波 nh 人名 58 0.0006 93.2119
氯酸钾 n 名词 58 0.0006 93.2125
工业经济 n 名词 58 0.0006 93.2131
打完 v 动词 58 0.0006 93.2137
死亡率 n 名词 58 0.0006 93.2071
几何学 n 名词 58 0.0006 93.2407
西装 n 名词 58 0.0006 93.2443
长篇小说 n 名词 58 0.0006 93.2431
脚跟 n 名词 58 0.0006 93.2449
天井 n 名词 58 0.0006 93.2425
志愿军 n 名词 58 0.0006 93.2455
吼叫 v 动词 58 0.0006 93.2461
深秋 nt 时间名词 58 0.0006 93.2467
南宋 nt 时间名词 58 0.0006 93.2473
津贴 n 名词 58 0.0006 93.2479
评论家 n 名词 58 0.0006 93.2485
房东 n 名词 58 0.0006 93.2491
消散 v 动词 58 0.0006 93.2503
乐园 n 名词 58 0.0006 93.2557
触犯 v 动词 58 0.0006 93.2551
版画 n 名词 58 0.0006 93.2545
殿 n 名词 58 0.0006 93.2539
听起来 v 动词 58 0.0006 93.2533
驻扎 v 动词 58 0.0006 93.2527
英明 a 形容词 58 0.0006 93.2497
上头 nd 方位名词 58 0.0006 93.2515
停工 v 动词 58 0.0006 93.2509
委 v 动词 58 0.0006 93.2521
螺线 n 名词 58 0.0006 93.2437
母牛 n 名词 58 0.0006 93.2347
签 v 动词 58 0.0006 93.2293
看重 v 动词 58 0.0006 93.2299
解剖学 n 名词 58 0.0006 93.2305
马虎 a 形容词 58 0.0006 93.2311
可比 v 动词 58 0.0006 93.2317
公文 n 名词 58 0.0006 93.2323
任免 v 动词 58 0.0006 93.2329
著称 v 动词 58 0.0006 93.2335
分寸 n 名词 58 0.0006 93.2341
救出 v 动词 58 0.0006 93.2353
度数 n 名词 58 0.0006 93.2365
积云 n 名词 58 0.0006 93.2371
截至 v 动词 58 0.0006 93.2377
便衣 n 名词 58 0.0006 93.2383
借来 v 动词 58 0.0006 93.2389
疯 a 形容词 58 0.0006 93.2359
洗衣机 n 名词 58 0.0006 93.2395
令人 v 动词 58 0.0006 93.2401
卜 v 动词 58 0.0006 93.2155
提包 n 名词 58 0.0006 93.1867
毁坏 v 动词 58 0.0006 93.1615
过重 a 形容词 58 0.0006 93.1621
软骨 n 名词 58 0.0006 93.1639
慢吞吞 a 形容词 58 0.0006 93.1645
高耸 v 动词 58 0.0006 93.1651
东南部 nl 处所名词 58 0.0006 93.1657
富饶 a 形容词 58 0.0006 93.1663
着实 d 副词 58 0.0006 93.1741
憔悴 a 形容词 58 0.0006 93.1861
临死 v 动词 58 0.0006 93.1675
名堂 n 名词 58 0.0006 93.2419
古 n 名词 58 0.0006 93.1609
市价 n 名词 58 0.0006 93.1687
竹林 n 名词 58 0.0006 93.1585
打通 v 动词 58 0.0006 93.1693
凡 a 形容词 58 0.0006 93.1669
瓶 q 量词 58 0.0006 93.1699
戏台 n 名词 58 0.0006 93.1705
挥发 v 动词 58 0.0006 93.1711
第三产业 n 名词 58 0.0006 93.1717
主 v 动词 58 0.0006 93.1723
虽则 c 连词 58 0.0006 93.1729
具体化 v 动词 58 0.0006 93.1735
急急 d 副词 58 0.0006 93.1681
藤椅 n 名词 58 0.0006 93.1507
药剂 n 名词 58 0.0006 93.1513
昏暗 a 形容词 58 0.0006 93.1525
大块 n 名词 58 0.0006 93.1501
人际关系 n 名词 58 0.0006 93.1495
蒋经国 nh 人名 58 0.0006 93.1489
吱吱 o 拟声词 58 0.0006 93.1483
飞扬 v 动词 58 0.0006 93.1477
元朝 nt 时间名词 58 0.0006 93.1519
工商业 n 名词 58 0.0006 93.1531
暗自 d 副词 58 0.0006 93.1537
阻断 v 动词 58 0.0006 93.1543
愈加 d 副词 58 0.0006 93.1549
迟早 d 副词 58 0.0006 93.1555
家禽 n 名词 58 0.0006 93.1561
素描 n 名词 58 0.0006 93.1567
当众 v 动词 58 0.0006 93.1573
亿万 m 数词 58 0.0006 93.1603
软化 v 动词 58 0.0006 93.1579
气派 n 名词 58 0.0006 93.1591
预感 v 动词 58 0.0006 93.1597
机关枪 n 名词 58 0.0006 93.1633
检察 v 动词 58 0.0006 93.2005
讲学 v 动词 58 0.0006 93.1885
秋收 n 名词 58 0.0006 93.1891
市内 nl 处所名词 58 0.0006 93.1897
电冰箱 n 名词 58 0.0006 93.1903
沪 j 缩略语 58 0.0006 93.1909
喉头 n 名词 58 0.0006 93.1915
军费 n 名词 58 0.0006 93.1921
查处 v 动词 58 0.0006 93.1927
倾诉 v 动词 58 0.0006 93.1933
挂钩 v 动词 58 0.0006 93.2011
染料 n 名词 58 0.0006 93.1945
窖 n 名词 58 0.0006 93.1879
宴 n 名词 58 0.0006 93.1957
酱 n 名词 58 0.0006 93.1963
核子 n 名词 58 0.0006 93.1969
颠覆 v 动词 58 0.0006 93.1975
实话 n 名词 58 0.0006 93.1981
阿根廷 ns 地名 58 0.0006 93.1987
读音 n 名词 58 0.0006 93.1993
团聚 v 动词 58 0.0006 93.1999
史文远 nh 人名 58 0.0006 93.1801
朱占标 nh 人名 58 0.0006 93.1813
历 v 动词 58 0.0006 93.1627
撩 v 动词 58 0.0006 93.1951
无政府主义 n 名词 58 0.0006 93.1939
桨 n 名词 58 0.0006 93.1753
单词 n 名词 58 0.0006 93.1759
造纸 v 动词 58 0.0006 93.1765
市场体系 n 名词 58 0.0006 93.1771
吃喝 v 动词 58 0.0006 93.1777
相隔 v 动词 58 0.0006 93.1783
鸦片战争 n 名词 58 0.0006 93.1789
纺 v 动词 58 0.0006 93.1795
并肩 d 副词 58 0.0006 93.1873
熟知 v 动词 58 0.0006 93.1807
教训 v 动词 58 0.0006 93.1747
燃着 v 动词 58 0.0006 93.1819
谭嗣同 nh 人名 58 0.0006 93.1825
性病 n 名词 58 0.0006 93.1831
歉意 n 名词 58 0.0006 93.1837
鄂 j 缩略语 58 0.0006 93.1843
背叛 v 动词 58 0.0006 93.1849
教学法 n 名词 58 0.0006 93.1855
共同体 n 名词 57 0.0006 93.3217
外貌 n 名词 57 0.0006 93.3229
普 a 形容词 57 0.0006 93.3235
谢 nhf 人名-姓 57 0.0006 93.3241
担架 n 名词 57 0.0006 93.3247
威尼斯 ns 地名 57 0.0006 93.3253
仆人 n 名词 57 0.0006 93.3259
捉摸 v 动词 57 0.0006 93.3337
策动 v 动词 57 0.0006 93.3271
笼统 a 形容词 57 0.0006 93.3211
中 n 名词 57 0.0006 93.3283
从此以后 i 习用语 57 0.0006 93.3289
印象派 n 名词 57 0.0006 93.3295
野猪 n 名词 57 0.0006 93.3301
东岸 nl 处所名词 57 0.0006 93.3307
远去 v 动词 57 0.0006 93.3313
注定 v 动词 57 0.0006 93.3319
自然 c 连词 57 0.0006 93.3325
审讯 v 动词 57 0.0006 93.3331
摆弄 v 动词 57 0.0006 93.3145
集体化 v 动词 57 0.0006 93.3457
播出 v 动词 57 0.0006 93.3133
急急忙忙 a 形容词 57 0.0006 93.3277
可为 v 动词 57 0.0006 93.3265
大中型企业 j 缩略语 57 0.0006 93.3091
呛 v 动词 57 0.0006 93.3097
场景 n 名词 57 0.0006 93.3103
传遍 v 动词 57 0.0006 93.3109
疼 v 动词 57 0.0006 93.3115
乞丐 n 名词 57 0.0006 93.3121
华 n 名词 57 0.0006 93.3127
接线 v 动词 57 0.0006 93.3205
滔滔 a 形容词 57 0.0006 93.3139
发怒 v 动词 57 0.0006 93.3079
时效 n 名词 57 0.0006 93.3151
哗啦 o 拟声词 57 0.0006 93.3157
政治权利 n 名词 57 0.0006 93.3163
拐杖 n 名词 57 0.0006 93.3169
阎 nhf 人名-姓 57 0.0006 93.3175
做完 v 动词 57 0.0006 93.3181
张春桥 nh 人名 57 0.0006 93.3187
劳动条件 n 名词 57 0.0006 93.3193
兑现 v 动词 57 0.0006 93.3199
以西 nd 方位名词 57 0.0006 93.3085
东南沿海 nl 处所名词 57 0.0006 93.3451
通路 n 名词 57 0.0006 93.3481
柳州 ns 地名 57 0.0006 93.3493
碳酸钙 n 名词 57 0.0006 93.3475
灯下 nl 处所名词 57 0.0006 93.3499
众生 n 名词 57 0.0006 93.3505
设定 v 动词 57 0.0006 93.3511
削减 v 动词 57 0.0006 93.3517
幸 v 动词 57 0.0006 93.3523
庭院 n 名词 57 0.0006 93.3529
上任 v 动词 57 0.0006 93.3535
钱财 n 名词 57 0.0006 93.3541
厂子 n 名词 57 0.0006 93.3595
开凿 v 动词 57 0.0006 93.3589
题 v 动词 57 0.0006 93.3583
浓密 a 形容词 57 0.0006 93.3577
莲 n 名词 57 0.0006 93.3571
钟表 n 名词 57 0.0006 93.3565
点火 v 动词 57 0.0006 93.3559
洽谈 v 动词 57 0.0006 93.3547
傀儡 n 名词 57 0.0006 93.3553
翠 a 形容词 57 0.0006 93.3397
奏鸣曲 n 名词 57 0.0006 93.3349
迷 n 名词 57 0.0006 93.3355
叫唤 v 动词 57 0.0006 93.3361
疼爱 v 动词 57 0.0006 93.3367
候 n 名词 57 0.0006 93.3373
总管 n 名词 57 0.0006 93.3379
碳酸 n 名词 57 0.0006 93.3385
补助 n 名词 57 0.0006 93.3391
写给 v 动词 57 0.0006 93.3409
私营企业 n 名词 57 0.0006 93.3469
无罪 v 动词 57 0.0006 93.3487
江湖 n 名词 57 0.0006 93.3403
中线 n 名词 57 0.0006 93.3343
失效 v 动词 57 0.0006 93.3415
雪线 n 名词 57 0.0006 93.3421
谷类 n 名词 57 0.0006 93.3427
里根 nh 人名 57 0.0006 93.3433
总而言之 i 习用语 57 0.0006 93.3439
宇宙飞船 n 名词 57 0.0006 93.3445
苔藓 n 名词 57 0.0006 93.3463
国家机器 n 名词 57 0.0006 93.2935
北魏 nt 时间名词 57 0.0006 93.2929
盘算 v 动词 57 0.0006 93.3223
要饭 v 动词 57 0.0006 93.2695
饭后 nt 时间名词 57 0.0006 93.2767
屎 n 名词 57 0.0006 93.2713
固然 d 副词 57 0.0006 93.2719
爽快 a 形容词 57 0.0006 93.2725
保守 v 动词 57 0.0006 93.2731
貌 n 名词 57 0.0006 93.2737
共青团员 n 名词 57 0.0006 93.2815
私营经济 n 名词 57 0.0006 93.2749
邯郸 ns 地名 57 0.0006 93.2689
莫不 d 副词 57 0.0006 93.2665
陈设 n 名词 57 0.0006 93.2761
山雀 n 名词 57 0.0006 93.2743
清华 ni 机构名 57 0.0006 93.2773
巴金 nh 人名 57 0.0006 93.2779
辞 v 动词 57 0.0006 93.2785
抹煞 v 动词 57 0.0006 93.2791
小生 n 名词 57 0.0006 93.2797
工头 n 名词 57 0.0006 93.2803
云彩 n 名词 57 0.0006 93.2809
水电 n 名词 57 0.0006 93.2755
粤 j 缩略语 57 0.0006 93.2563
挪威 ns 地名 57 0.0006 93.2617
贫富 n 名词 57 0.0006 93.2575
近海 n 名词 57 0.0006 93.2581
莫大 a 形容词 57 0.0006 93.2587
奔放 a 形容词 57 0.0006 93.2593
乌鲁木齐 ns 地名 57 0.0006 93.2599
宜于 v 动词 57 0.0006 93.2605
想见 v 动词 57 0.0006 93.2611
蒙古族 ns 地名 57 0.0006 93.2623
澡 n 名词 57 0.0006 93.2629
梦见 v 动词 57 0.0006 93.2683
烈 a 形容词 57 0.0006 93.2641
专科 n 名词 57 0.0006 93.2569
规 n 名词 57 0.0006 93.2647
黑猫 n 名词 57 0.0006 93.2653
忽地 d 副词 57 0.0006 93.2659
自此 d 副词 57 0.0006 93.2635
真情 n 名词 57 0.0006 93.2671
嗜好 n 名词 57 0.0006 93.2677
炽热 a 形容词 57 0.0006 93.2707
终点 n 名词 57 0.0006 93.3067
凄惨 a 形容词 57 0.0006 93.2953
羞愧 a 形容词 57 0.0006 93.2959
工段 n 名词 57 0.0006 93.2965
落叶松 n 名词 57 0.0006 93.2971
冤 n 名词 57 0.0006 93.2977
错过 v 动词 57 0.0006 93.2983
强制性 n 名词 57 0.0006 93.2989
毛驴 n 名词 57 0.0006 93.2995
抵消 v 动词 57 0.0006 93.3073
大堤 n 名词 57 0.0006 93.3007
内地 n 名词 57 0.0006 93.2947
绪 n 名词 57 0.0006 93.3019
恼 v 动词 57 0.0006 93.3025
白茫茫 a 形容词 57 0.0006 93.3031
名贵 a 形容词 57 0.0006 93.3037
核桃 n 名词 57 0.0006 93.3043
国计民生 i 习用语 57 0.0006 93.3049
挎 v 动词 57 0.0006 93.3055
梯田 n 名词 57 0.0006 93.3061
明月 n 名词 57 0.0006 93.2887
民工 n 名词 57 0.0006 93.2875
吕 nhf 人名-姓 57 0.0006 93.3013
撒谎 v 动词 57 0.0006 93.2701
农民战争 n 名词 57 0.0006 93.3001
白昼 nt 时间名词 57 0.0006 93.2827
文 nhf 人名-姓 57 0.0006 93.2833
朗诵 v 动词 57 0.0006 93.2839
总值 n 名词 57 0.0006 93.2845
高呼 v 动词 57 0.0006 93.2851
唐太宗 nh 人名 57 0.0006 93.2857
分头 d 副词 57 0.0006 93.2863
庙宇 n 名词 57 0.0006 93.2869
二哥 n 名词 57 0.0006 93.2941
焰 n 名词 57 0.0006 93.2881
双目 n 名词 57 0.0006 93.2821
升学 v 动词 57 0.0006 93.2893
转而 d 副词 57 0.0006 93.2899
末了 n 名词 57 0.0006 93.2905
流利 a 形容词 57 0.0006 93.2911
躲开 v 动词 57 0.0006 93.2917
土质 n 名词 57 0.0006 93.2923
深感 v 动词 56 0.0006 93.4315
出版社 n 名词 56 0.0006 93.4321
天然 n 名词 56 0.0006 93.4327
多元 n 名词 56 0.0006 93.4333
部份 n 名词 56 0.0006 93.4339
悲壮 a 形容词 56 0.0006 93.4345
录 n 名词 56 0.0006 93.4351
光临 v 动词 56 0.0006 93.4429
吵闹 v 动词 56 0.0006 93.4363
床铺 n 名词 56 0.0006 93.4297
你们俩 r 代词 56 0.0006 93.3985
旋风 n 名词 56 0.0006 93.4375
头骨 n 名词 56 0.0006 93.4303
一团 n 名词 56 0.0006 93.4381
索取 v 动词 56 0.0006 93.4387
特别是 vl 联系动词 56 0.0006 93.4393
华沙 ns 地名 56 0.0006 93.4399
印章 n 名词 56 0.0006 93.4405
电炉 n 名词 56 0.0006 93.4411
昂贵 a 形容词 56 0.0006 93.4417
突击队 n 名词 56 0.0006 93.4423
公 f 区别词 56 0.0006 93.4549
海啸 n 名词 56 0.0006 93.4231
对外 p 介词 56 0.0006 93.4369
社会保障 n 名词 56 0.0006 93.4219
木块 n 名词 56 0.0006 93.4357
乐音 n 名词 56 0.0006 93.4171
全新 a 形容词 56 0.0006 93.4177
繁荣 v 动词 56 0.0006 93.4183
郑州 ns 地名 56 0.0006 93.4189
只能 d 副词 56 0.0006 93.4195
投机 a 形容词 56 0.0006 93.4201
运往 v 动词 56 0.0006 93.4207
老头儿 n 名词 56 0.0006 93.4213
穿刺 v 动词 56 0.0006 93.4291
林立 v 动词 56 0.0006 93.4225
容貌 n 名词 56 0.0006 93.4159
城门 n 名词 56 0.0006 93.4237
授粉 v 动词 56 0.0006 93.4243
挥动 v 动词 56 0.0006 93.4249
泼 v 动词 56 0.0006 93.4255
摊开 v 动词 56 0.0006 93.4261
实实在在 a 形容词 56 0.0006 93.4267
耽心 v 动词 56 0.0006 93.4273
掀开 v 动词 56 0.0006 93.4279
坦然 a 形容词 56 0.0006 93.4285
细看 v 动词 56 0.0006 93.4165
负 a 形容词 56 0.0006 93.4543
下楼 v 动词 56 0.0006 93.4579
函 n 名词 56 0.0006 93.4585
哺育 v 动词 56 0.0006 93.4591
公务员 n 名词 56 0.0006 93.4633
他老人家 n 名词 56 0.0006 93.4609
含水量 n 名词 56 0.0006 93.4615
遍布 v 动词 56 0.0006 93.4621
可疑 a 形容词 56 0.0006 93.4663
天安门 ns 地名 56 0.0006 93.4627
南宁 ns 地名 56 0.0006 93.4573
新石器时代 nt 时间名词 56 0.0006 93.4639
推敲 v 动词 56 0.0006 93.4645
得名 v 动词 56 0.0006 93.4675
之初 n 名词 56 0.0006 93.4705
浮游生物 i 习用语 56 0.0006 93.4699
奴才 n 名词 56 0.0006 93.4693
甘油 n 名词 56 0.0006 93.4711
文艺界 n 名词 56 0.0006 93.4687
品尝 v 动词 56 0.0006 93.4681
俗称 v 动词 56 0.0006 93.4651
残忍 a 形容词 56 0.0006 93.4669
心力衰竭 i 习用语 56 0.0006 93.4657
直达 v 动词 56 0.0006 93.4603
苗子 n 名词 56 0.0006 93.4495
自居 v 动词 56 0.0006 93.4441
娇 a 形容词 56 0.0006 93.4447
同居 v 动词 56 0.0006 93.4453
年终 nt 时间名词 56 0.0006 93.4459
椭圆形 n 名词 56 0.0006 93.4465
劳模 j 缩略语 56 0.0006 93.4471
十二大 j 缩略语 56 0.0006 93.4477
整整齐齐 a 形容词 56 0.0006 93.4483
拂 v 动词 56 0.0006 93.4507
丁字 n 名词 56 0.0006 93.4489
挺拔 a 形容词 56 0.0006 93.4597
六千 m 数词 56 0.0006 93.4567
汹涌 a 形容词 56 0.0006 93.4501
各色 a 形容词 56 0.0006 93.4435
放火 v 动词 56 0.0006 93.4513
碳水化合物 n 名词 56 0.0006 93.4519
茶几 n 名词 56 0.0006 93.4525
霸 n 名词 56 0.0006 93.4531
邓颖超 nh 人名 56 0.0006 93.4537
大院 n 名词 56 0.0006 93.4555
红外线 n 名词 56 0.0006 93.4561
星座 n 名词 56 0.0006 93.4309
川 n 名词 56 0.0006 93.4003
截面 n 名词 56 0.0006 93.3769
合一 v 动词 56 0.0006 93.3727
解说 v 动词 56 0.0006 93.3757
照搬 v 动词 56 0.0006 93.3799
基层干部 n 名词 56 0.0006 93.3763
要害 n 名词 56 0.0006 93.3775
林丽 nh 人名 56 0.0006 93.3781
抢险 v 动词 56 0.0006 93.3787
上楼 v 动词 56 0.0006 93.3793
乐章 n 名词 56 0.0006 93.3871
验收 v 动词 56 0.0006 93.3805
来华 v 动词 56 0.0006 93.3739
五四运动 n 名词 56 0.0006 93.3817
萧 nhf 人名-姓 56 0.0006 93.3823
千变万化 i 习用语 56 0.0006 93.3829
争辩 v 动词 56 0.0006 93.3835
问起 v 动词 56 0.0006 93.3841
掌管 v 动词 56 0.0006 93.3847
聪明才智 i 习用语 56 0.0006 93.3853
乳白色 n 名词 56 0.0006 93.3859
序数 n 名词 56 0.0006 93.3865
况 n 名词 56 0.0006 93.3811
床单 n 名词 56 0.0006 93.3697
赞 v 动词 56 0.0006 93.3601
梯 n 名词 56 0.0006 93.3661
生活史 n 名词 56 0.0006 93.3619
邦 n 名词 56 0.0006 93.3625
生硬 a 形容词 56 0.0006 93.3631
昨日 nt 时间名词 56 0.0006 93.3637
呼应 v 动词 56 0.0006 93.3643
小腿 n 名词 56 0.0006 93.3649
底子 n 名词 56 0.0006 93.3655
殴打 v 动词 56 0.0006 93.3613
畅通 a 形容词 56 0.0006 93.3667
哪怕是 c 连词 56 0.0006 93.3679
精辟 a 形容词 56 0.0006 93.3733
纸片 n 名词 56 0.0006 93.3691
援 v 动词 56 0.0006 93.3607
粗细 n 名词 56 0.0006 93.3703
沾满 v 动词 56 0.0006 93.3709
母系 n 名词 56 0.0006 93.3715
蛤蟆 n 名词 56 0.0006 93.3685
苯酚 n 名词 56 0.0006 93.3673
赤字 n 名词 56 0.0006 93.3721
谬误 n 名词 56 0.0006 93.3751
法拉第 nh 人名 56 0.0006 93.4147
回转 v 动词 56 0.0006 93.4021
当日 nt 时间名词 56 0.0006 93.4027
小品 n 名词 56 0.0006 93.4033
边际 n 名词 56 0.0006 93.4039
义和团 n 名词 56 0.0006 93.4045
得力 a 形容词 56 0.0006 93.4051
生产率 n 名词 56 0.0006 93.4057
巾 n 名词 56 0.0006 93.4063
学制 n 名词 56 0.0006 93.4069
边远 a 形容词 56 0.0006 93.4153
松林 n 名词 56 0.0006 93.4081
触到 v 动词 56 0.0006 93.4015
出家 v 动词 56 0.0006 93.4093
静默 v 动词 56 0.0006 93.4099
自然观 n 名词 56 0.0006 93.4105
白布 n 名词 56 0.0006 93.4111
一九八四 m 数词 56 0.0006 93.4117
叫卖 v 动词 56 0.0006 93.4123
轻巧 a 形容词 56 0.0006 93.4129
枣 n 名词 56 0.0006 93.4135
球体 n 名词 56 0.0006 93.4141
高利贷 n 名词 56 0.0006 93.3949
雀 n 名词 56 0.0006 93.4087
婚事 n 名词 56 0.0006 93.4075
屹立 v 动词 56 0.0006 93.3883
相联 v 动词 56 0.0006 93.3889
老生 n 名词 56 0.0006 93.3895
焊 v 动词 56 0.0006 93.3901
比不上 v 动词 56 0.0006 93.3907
涌起 v 动词 56 0.0006 93.3913
唱戏 v 动词 56 0.0006 93.3919
浓烟 n 名词 56 0.0006 93.3925
原定 v 动词 56 0.0006 93.3931
暗淡 a 形容词 56 0.0006 93.3943
跨过 v 动词 56 0.0006 93.3877
政变 v 动词 56 0.0006 93.3955
三十万 m 数词 56 0.0006 93.3961
弹力 n 名词 56 0.0006 93.3967
重伤 n 名词 56 0.0006 93.3973
跌落 v 动词 56 0.0006 93.3937
进到 v 动词 56 0.0006 93.3979
碍 v 动词 56 0.0006 93.3745
眼圈 n 名词 56 0.0006 93.3991
恶魔 n 名词 56 0.0006 93.3997
右腿 n 名词 56 0.0006 93.4009
喘气 v 动词 55 0.0006 93.5491
俞 nhf 人名-姓 55 0.0006 93.5497
比方说 c 连词 55 0.0006 93.5503
神道 n 名词 55 0.0006 93.5509
崇敬 v 动词 55 0.0006 93.5515
分娩 v 动词 55 0.0006 93.5521
杨玲 nh 人名 55 0.0006 93.5527
反比 n 名词 55 0.0006 93.5533
铁门 n 名词 55 0.0006 93.5617
产后 nt 时间名词 55 0.0006 93.5545
民族主义 n 名词 55 0.0006 93.5473
扑来 v 动词 55 0.0006 93.5557
水生 v 动词 55 0.0006 93.5563
新来 v 动词 55 0.0006 93.5569
寓言 n 名词 55 0.0006 93.5575
亮相 v 动词 55 0.0006 93.5581
镶嵌 v 动词 55 0.0006 93.5587
团团 a 形容词 55 0.0006 93.5593
多种经营 i 习用语 55 0.0006 93.5599
络 v 动词 55 0.0006 93.5605
美味 n 名词 55 0.0006 93.5761
争气 a 形容词 55 0.0006 93.5611
广播 n 名词 55 0.0006 93.5551
